start_time,end_time or duration_in_minutes,hashtag/chat,daily/weekly/monthly,"day of the week, frequency (M,Tu,W,Th,F,Sa,Su      M-1-3,Th-2-4)",
7:30 PM,8:30 PM,#LLLchat,weekly,Tu,
7:00 PM,8:00 PM,#WVEdChat,weekly,Tu,
7:00 PM,8:00 PM,#coteachat,monthly,"Tu-2, Tu-4",
7:00 PM,8:00 PM,#espechat,weekly,Tu,
7:00 PM,8:00 PM,#OhioMLA,monthly,Tu-2,
7:00 PM,8:00 PM,#edulive,weekly,Tu,
7:00 PM,8:00 PM,#techcoachbookclub,monthly,Tu-2,
7:00 PM,8:00 PM,#2ndaryELA,weekly,Tu,
7:00 PM,8:00 PM,#WCPSMDLead,monthly,Tu-1,
7:00 PM,8:00 PM,#kidscancode,weekly,Tu,
7:00 PM,8:00 PM,#EdChatMA,monthly,Tu-4,
7:00 PM,8:00 PM,#NCed,weekly,Tu,
7:00 PM,8:00 PM,#pblchat,weekly,Tu,
6:00 PM,7:00 PM,#2pencilchat,weekly,Tu,
6:00 PM,7:00 PM,#HealthyEd,monthly,"Tu-1, Tu-3",
6:00 PM,7:00 PM,#ECET2ARChat,weekly,Tu,
2:00 PM,3:00 PM,#SafeSchoolsChat,weekly,Su,
5:00 PM,6:00 PM,#TEDEdChat,weekly,Tu,
1:00 PM,2:00 PM,#edchatDE,weekly,Tu,
9:00 PM,10:00 PM,#abedchat,weekly,W,
9:00 PM,10:00 PM,#educoach,weekly,W,
9:00 PM,10:00 PM,#IDedchat,weekly,W,
8:30 PM,9:30 PM,#TXed,weekly,W,
9:00 PM,10:00 PM,#WeirdEd,weekly,W,
9:00 PM,10:00 PM,#ndedchat,weekly,W,
8:00 PM,9:00 PM,#principallife,weekly,W,
8:00 PM,9:00 PM,#shelfietalk,weekly,W,
8:00 PM,9:00 PM,#nebEDchat,weekly,W,
8:00 PM,9:00 PM,#sblchat,weekly,W,
8:00 PM,9:00 PM,#EnviroEd ,weekly,W,
8:00 PM,9:00 PM,#PTChat,weekly,W,
8:00 PM,9:00 PM,#DTK12chat,weekly,W,
8:00 PM,9:00 PM,#1to1techat,weekly,W,
8:00 PM,9:00 PM,#siedchat,weekly,W,
8:00 PM,9:00 PM,#scitlap,weekly,W,
8:00 PM,9:00 PM,#CSI4EDU ,weekly,W,
8:00 PM,9:00 PM,#txhsfbchat,weekly,W,
8:00 PM,9:00 PM,#livedchat,weekly,W,
8:00 PM,9:00 PM,#WIEE,weekly,W,
8:00 PM,9:00 PM,#BOOSTchat,monthly,W-1,
6:30 PM,7:00 PM,#mathmindset,weekly,Th,
7:00 PM,8:00 PM,#ntchat,monthly,"W-1, W-2",
7:00 PM,8:00 PM,#ONedchat,weekly,W,
7:00 PM,8:00 PM,#MichED,weekly,W,
7:00 PM,8:00 PM,#NOVAedchat,weekly,W,
7:00 PM,8:00 PM,#FLedChat,weekly,W,
7:00 PM,8:00 PM,#csk8,weekly,W,
7:00 PM,8:00 PM,#edbeat,weekly,W,
7:00 PM,8:00 PM,#suptchat,weekly,W,
7:00 PM,8:00 PM,#atchat,weekly,W,
7:00 PM,8:00 PM,#LDCchat,monthly,W-1,
7:00 PM,8:00 PM,#ncadmin,bi-weekly,W,
7:00 PM,8:00 PM,#Gwinchat,weekly,W,
7:00 PM,8:00 PM,#2ndchat,monthly,"W-2, W-4",
6:30 PM,7:30 PM,#teacherpowered,weekly,W,
6:00 PM,7:00 PM,#dojochat        ,weekly,W,
6:00 PM,7:00 PM,#edtechbridge,weekly,W,
6:00 PM,7:00 PM,#aplangchat	,weekly,W,
6:00 PM,7:00 PM,#digcit	,monthly,"W-2, W-4",
2:00 PM,3:00 PM,#LTHEchat,weekly,W,
5:00 PM,6:00 PM,#symchat,weekly,W,
5:00 PM,6:00 PM,#whatisschool,weekly,Th,
6:00 PM,7:00 PM,#BPOPchat ,monthly,Th-1,
7:00 PM,8:00 PM,#games4ed,weekly,Th,
7:00 PM,8:00 PM,#kyedchat,weekly,Th,
7:00 PM,8:00 PM,#mschat,weekly,Th,
7:00 PM,8:00 PM,#mdeschat,weekly,Th,
7:00 PM,7:30 PM,#UrbanEdChat ,weekly,Th,
8:00 PM,9:00 PM,#ISEDchat        ,weekly,Th,
8:00 PM,9:00 PM,#ChristianEducators,weekly,Th,
8:00 PM,9:00 PM,#MOedchat	,weekly,Th,
8:00 PM,9:00 PM,#HSGEdChatTN,weekly,M,
2:30 AM,3:30 AM,#edchatnz,monthly,Th-2,
6:00 PM,7:00 PM,#BPOPchat ,monthly,Th-1,
8:00 PM,9:00 PM,#saskedchat,weekly,Th,
8:00 PM,9:00 PM,#LessonUP,weekly,Th,
6:30 PM,7:30 PM,#SOBTC,monthly,"Th-2, Th-4",
6:00 PM,7:00 PM,#pretchat,monthly,"Th-2, Th-4",
8:30 PM,9:00 PM,#Gueri11aEd,weekly,Th,
9:30 AM,10:30 AM,#eduin,monthly,Th-4,
2:00 PM,3:00 PM,#SENexchange,weekly,Th,
6:00 PM,7:00 PM,#edmodochat,weekly,Th,
6:00 PM,7:00 PM,#CharacterEdChat,monthly,"Th-1, Th-3",
6:00 PM,7:00 PM,#EFHSchat,monthly,Th-4,
6:00 PM,7:00 PM,#KTIelachat,monthly,Th,
6:00 PM,7:00 PM,#NaikuChat,,Th,
6:30 PM,7:30 PM,#SOBTC,monthly,"Th-2, Th-4",
6:30 PM,7:30 PM,#DeafEd,monthly,Th-1,
6:30 PM,7:30 PM,#MuseumEdOz,monthly,Th-1,
8:00 PM,9:00 PM,#TLAP,weekly,M,
7:00 PM,8:00 PM,#gaed,weekly,Th,
7:00 PM,8:00 PM,#iOSEdChat,weekly,Th,
7:00 PM,8:00 PM,#IRAchat,monthly,Th-2,
7:00 PM,8:00 PM,#langchat,weekly,Th,
7:00 PM,8:00 PM,#lidchat,weekly,Th,
7:00 PM,8:00 PM,#MEMSPAchat,weekly,Th,
7:00 PM,8:00 PM,#TNedchat,weekly,Th,
7:00 PM,8:00 PM,#edtechmath,weekly,Th,
7:00 PM,8:00 PM,#EduReal,bi-weekly,Th,
7:00 PM,8:00 PM,#glhsedchat,weekly,Th,
7:00 PM,8:00 PM,#globaledchat,weekly,Th,
7:00 PM,8:00 PM,#learnbetter,weekly,Th,
7:00 PM,8:00 PM,#elngsschat,bi-weekly,Th,
7:30 PM,8:30 PM,#CTQChat,monthly,Th-3,
7:30 PM,8:30 PM,#G2Great,weekly,Th,
7:30 PM,8:30 PM,#lrnchat,weekly,Th,
7:30 PM,8:30 PM,#delachat,weekly,Th,
8:00 PM,9:00 PM,#geniushour,monthly,Th-1,
8:00 PM,9:00 PM,#K12artchat,weekly,Th,
8:00 PM,9:00 PM,#aphgchat,weekly,Th,
8:00 PM,9:00 PM,#atplc,weekly,Th,
8:00 PM,9:00 PM,#edtherapy,weekly,Th,
8:00 PM,9:00 PM,#ibookschat,weekly,Th,
8:00 PM,9:00 PM,#INelearn,weekly,Th,
8:00 PM,9:00 PM,#inquirychat,weekly,Th,
8:00 PM,9:00 PM,#NGSSchat,monthly,"Th-1, Th-3",
8:00 PM,9:00 PM,#paedchat,weekly,Th,
8:00 PM,9:00 PM,#EduAfterHours,weekly,Th,
8:00 PM,9:00 PM,#ICEilchat,monthly,Th-4,
8:00 PM,9:00 PM,#LessonUP,weekly,Th,
8:00 PM,9:00 PM,#RLchat,weekly,Th,
8:00 PM,9:00 PM,#ElemMathChat,weekly,Th,
8:00 PM,9:00 PM,#TBookC,weekly,Th,
8:00 PM,9:00 PM,#Reg5Chat,weekly,Th,
8:00 PM,9:00 PM,#SciStuChat,monthly,Th,Unsure of frequency
8:30 PM,9:30 PM,#dentonchat,weekly,Th,
9:00 PM,9:30 PM,#ditchbook,weekly,Th,
7:00 PM,8:00 PM,#innovateNJ	,monthly,"W-1, W-3",
8:00 PM,9:00 PM,#BmoreEdchat,weekly,W,
8:30 AM,9:30 AM,#hacklearning,weekly,Su,
7:00 PM,8:00 PM,#Teach2Teach,monthly,"T-1, T-3",
6:30 PM,7:30 PM,#educolor,monthly,Th-4,
8:00 PM,9:00 PM,#coascd,monthly,M-1,
7:00 PM,8:00 PM,#ecet2,weekly,Su,
8:00 PM,9:00 PM,#worldgeochat,weekly,Tu,
7:00 PM,8:00 PM,#Sp2chat,monthly,M-2,
7:00 PM,8:00 PM,#WSFCSed,monthly,Th-1,
9:00 PM,10:00 PM,#NVedchat ,weekly,M,
9:00 PM,10:00 PM,#EdTechAfterDark,weekly,M,
7:00 PM,8:00 PM,#tesoloz,monthly,F-4,
5:00 PM,6:00 PM,#elemchat,weekly,Sa,
4:30 AM,5:30 AM,#aussieEd ,weekly,Su,
8:00 AM,9:00 AM,#sunchat ,weekly,Su,
5:00 PM,6:00 PM,#EduMatch,weekly,Su,
6:00 PM,6:30 PM,#Read4Fun ,monhtly,"Su-1, Su-3",
6:00 PM,7:00 PM,#fitnessedu ,weekly,Su,
6:00 PM,7:00 PM,#nhed,weekly,Su,
6:30 PM,7:30 PM,#nctlchat,weekly,Su,
7:00 PM,8:00 PM,#APChat,weekly,Su,
7:00 PM,8:00 PM,#EdChatAtl,monthly,"Su-1, Su-3",
8:00 PM,9:00 PM,#txeduchat,weekly,Su,
8:00 PM,9:00 PM,#APLitChat,weekly,Su,
8:00 PM,9:00 PM,#iaedchat ,weekly,Su,
7:00 PM,8:00 PM,#mnlead,weekly,Su,
7:00 PM,8:00 PM,#nbtchat,weekly,Su,
7:00 PM,8:00 PM,#wischat,weekly,Su,
7:00 PM,8:00 PM,#1stchat,weekly,Su,
7:00 PM,8:00 PM,#21stedchat,weekly,Su,
7:00 PM,8:00 PM,#nctechat,monthly,Su-3,
7:00 PM,8:00 PM,#edchatri,weekly,Su,
7:00 PM,8:00 PM,#psychedPodcast,monthly,"Su-1, Su-3",Uses GHO only
7:00 PM,8:00 PM,#TitleTalk,weekly,Su,
8:00 PM,9:00 PM,#APLitChat,weekly,Su,
8:00 PM,9:00 PM,#oklaed,weekly,Su,
8:00 PM,9:00 PM,#mnmasa,monthly,Su-2,
6:30 PM,7:00 PM,#teachNVchat ,monthly,Th-2,
8:00 PM,9:00 PM,DualLangChat,monthly,Su-1,
9:00 PM,10:00 PM,#CVESDChat,bi-weekly,Su,
9:00 PM,10:00 PM,#WATeachLead,monthly,Su-2,
3:00 AM,4:00 AM,#FutureEdChat,monthly,Su-1,
9:00 AM,10:00 AM,#iteachphysics,bi-weekly,Sa,
8:00 PM,9:00 PM,#ISTELitChat,monthly,Su-4,
8:00 PM,9:00 PM,#hsgovchat,weekly,Su,
9:00 PM,10:00 PM,#bcedchat,weekly,Su,
8:00 PM,9:00 PM,#DualLangChat,montly,Su-1,
8:00 PM,9:00 PM,#ccsschat,weekly,Su,
8:00 PM,9:00 PM,#blogchat,weekly,Su,
8:00 PM,9:00 PM,#probchat,weekly,Su,
7:30 PM,8:30 PM,#PodcastPD,weekly,Su,
7:00 PM,8:00 PM,#GCLchat,weekly,Su,
9:00 PM,10:00 PM,#wyoedchat,weekly,Su,
9:00 PM,10:00 PM,#TPEPchat,monthly,Su-4,
2:30 PM,3:30 PM,#kinderchat,weekly,M,
6:30 PM,7:30 PM,#artsed	,weekly,Th,
8:00 PM,9:00 PM,#alsci,monthly,W-4,
8:00 PM,9:00 PM,#ArkEdChat,weekly,Th,
7:00 PM,8:00 PM,#wiartchat,weekly,M,
8:00 AM,9:00 AM,#CatholicEdchat,weekly,Sa,
7:00 PM,8:00 PM,#cpchat,weekly,W,
7:00 PM,8:00 PM,#currichat,weekly,W,
7:00 PM,8:00 PM,#divergED,weekly,Tu,
7:00 AM,8:00 AM,#edsg,weekly,Su,
7:00 PM,8:00 PM,#ILACHAT,monthly,Th-2,
7:00 PM,8:00 PM,#JCPSchat,monthly,Tu-3,
slow chat,slow chat,#kisdelemtech,monthly,M-2,
8:30 AM,9:00 AM,#leadupchat,weekly,Sa,
7:00 PM,8:00 PM,#leadwithgiants,weekly,M,
7:00 PM,8:00 PM,#NCSLMAChat,monthly,Th-4,
8:00 AM,9:00 AM,#nt2t,weekly,Sa,
6:30 PM,7:00 PM,#TCRWP ,weekly,W,
8:00 PM,9:00 PM,#poetrychat,monthly,M-1,
7:00 PM,8:00 PM,#profchat,weekly,Tu,
8:00 PM,9:00 PM,#PSCchat,weekly,M,
6:30 AM,7:30 AM,#satchat,weekly,Sa,
5:00 PM,6:00 PM,#satchatoc,weekly,Sa,
9:30 AM,10:30 AM,#satchatwc,weekly,Sa,
7:30 PM,8:30 PM,#scichat,weekly,Tu,
7:00 PM,8:00 PM,#SDUHSDchat,weekly,Tu,
3:00 PM,4:00 PM,#seesawchat,monthly,"Tu-2, Tu-4",
8:00 PM,9:00 PM,#sstlap,bi-weekly,Th,
2:00 PM,3:00 PM,#UKedchat,weekly,Th,
7:00 PM,8:00 PM,#WCPSSchat,weekly,W,
7:00 PM,8:00 PM,#BigBeacon,weekly,M,
7:00 PM,8:00 PM,#SASDCHAT,weekly,W,
7:00 PM,8:00 PM,#NWOTchat,weekly,W,
10:00 PM,11:00 PM,#EdChat SD,monthly,W-1,
9:00 PM,10:00 PM,#mbedchat,weekly,W,
2:30 AM,3:30 AM,#EngChatNZ,bi-weekly,W,
