userid,old usergroup,new_usergroup,new_usergroup,lc_access_id,course_id,course_name,course_alias,moduletype,catid,access
997,77,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
997,77,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
997,77,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
997,77,77,Core K-5 Year 5,68,42949,Pathway: Do-it-Yourself (copy),copy-core-k-5-year-5-module-4,pd-copy,783,68
998,9,10,Core K-5 Year 2,5,42749,Intercultural Competence Inquiry (copy),copy-core-k-5-year-2-module-1,pd-copy,89,5
998,9,10,Core K-5 Year 2,5,42753,Global Interdependence Inquiry (copy),copy-core-k-5-year-2-module-2,pd-copy,89,5
998,9,10,Core K-5 Year 2,5,42757,Mapping the Local and the Global (copy),copy-core-k-5-year-2-module-4,pd-copy,89,5
998,9,10,Core K-5 Year 2,5,42781,Internet and Society (copy),copy-core-k-5-year-2-module-3,pd-copy,89,5
998,10,11,Core K-5 Year 3,6,42733,Understanding Student Global Competence (copy),copy-core-k-5-year-3-module-1,pd-copy,87,6
998,10,11,Core K-5 Year 3,6,42737,World Innovations (copy),copy-core-k-5-year-3-module-4,pd-copy,87,6
998,10,11,Core K-5 Year 3,6,42789,Engaging Students with Global Challenges (copy),copy-core-k-5-year-3-module-2,pd-copy,87,6
998,10,11,Core K-5 Year 3,6,42793,Visual Literacy and Inference Making (copy),copy-core-k-5-year-3-module-3,pd-copy,87,6
998,56,77,Core K-5 Year 5,68,42937,Pathway: Instructional Innovator (copy),copy-core-k-5-year-5-module-2,pd-copy,783,68
998,56,77,Core K-5 Year 5,68,42941,Pathway: Teacher as a Mentor (copy),copy-core-k-5-year-5-module-1,pd-copy,783,68
998,56,77,Core K-5 Year 5,68,42945,Pathway: Teacher Advocate (copy),copy-core-k-5-year-5-module-3,pd-copy,783,68
